Unnamed: 0,powerPlay,AverageScore,battingTeam,bowlingTeam,city,delivery_left,score,CurrentRunRate,wicketsLeft,Run_In_Last5,Wickets_In_Last5,Final_Score,innings
101001,0,128.3953488372093,Pakistan,Australia,Dubai,45,74,5.92,8,31.0,0.0,109,2
162080,1,167.33333333333334,England,Australia,Hobart,84,46,7.666666666666667,7,32.0,3.0,200,2
104696,0,149.27586206896552,South Africa,India,Johannesburg,66,68,7.555555555555555,7,32.0,2.0,175,2
56378,0,155.71428571428572,India,England,Nagpur,56,70,6.5625,7,25.0,2.0,144,1
97778,0,149.28571428571428,South Africa,England,Cape Town,59,62,6.0983606557377055,8,27.0,1.0,135,2
163199,0,103.0,Sri Lanka,South Africa,Hambantota,40,107,8.025,7,24.0,1.0,164,2
137353,0,149.95833333333334,New Zealand,South Africa,Auckland,18,151,8.882352941176471,6,39.0,1.0,162,2
8934,0,138.1627906976744,West Indies,Pakistan,Dubai,77,31,4.325581395348837,5,20.0,3.0,115,1
36203,0,168.44444444444446,Australia,England,Southampton,43,145,11.298701298701298,8,59.0,1.0,248,1
79518,0,110.0,Bangladesh,West Indies,St Kitts,52,102,9.0,5,42.0,1.0,143,1
165203,0,154.25,England,South Africa,Centurion,21,132,8.0,7,45.0,1.0,157,2
28624,0,153.14285714285714,Pakistan,Australia,Colombo,4,144,7.448275862068966,4,36.0,4.0,149,1
127448,1,129.41666666666666,Pakistan,Sri Lanka,Abu Dhabi,91,14,2.896551724137931,9,14.0,1.0,103,2
24332,0,178.75,England,New Zealand,Hamilton,33,126,8.689655172413794,6,41.0,2.0,194,1
160557,0,145.33333333333334,Bangladesh,India,Delhi,58,63,6.096774193548387,8,23.0,1.0,154,2
82082,0,177.33333333333334,New Zealand,South Africa,Centurion,25,139,8.778947368421052,6,44.0,2.0,177,1
114616,0,162.58333333333334,West Indies,New Zealand,Hamilton,12,147,8.166666666666666,5,52.0,0.0,155,2
138033,0,149.95833333333334,New Zealand,Pakistan,Auckland,46,90,7.297297297297297,4,34.0,2.0,153,2
7256,0,156.9047619047619,Australia,South Africa,Cape Town,48,121,10.083333333333334,9,35.0,1.0,193,1
63955,0,153.88235294117646,West Indies,India,Barbados,18,141,8.294117647058824,8,61.0,1.0,169,1
137654,0,149.95833333333334,New Zealand,West Indies,Auckland,43,146,11.376623376623376,5,63.0,1.0,179,2
104308,0,149.27586206896552,Sri Lanka,Pakistan,Johannesburg,79,66,9.658536585365852,7,59.0,1.0,156,2
62961,0,136.0,Netherlands,Bangladesh,The Hague,33,102,7.0344827586206895,5,42.0,1.0,144,1
145770,1,130.8,Netherlands,South Africa,Chattogram,87,57,10.363636363636363,10,56.0,0.0,139,2
50806,0,168.66666666666666,Pakistan,New Zealand,Auckland,17,169,9.844660194174756,8,50.0,0.0,201,1
47308,0,166.2,Netherlands,Zimbabwe,Sylhet,61,62,6.305084745762711,6,25.0,0.0,140,1
85971,0,166.4,Australia,South Africa,Brisbane,38,134,9.804878048780488,8,57.0,1.0,209,1
123067,0,147.11764705882354,England,Sri Lanka,Pallekele,0,149,7.45,1,43.0,2.0,150,2
143466,0,162.0,Pakistan,England,Bristol,69,82,9.647058823529411,7,55.0,1.0,148,2
70376,0,166.28571428571428,Ireland,Netherlands,Dublin,74,47,6.130434782608695,8,31.0,1.0,128,1
152866,0,148.54545454545453,Pakistan,Sri Lanka,Lahore,56,61,5.71875,7,33.0,0.0,101,2
76981,0,156.0,England,Afghanistan,Delhi,82,44,6.947368421052632,6,41.0,4.0,142,1
76250,0,181.8,India,Australia,Adelaide,72,67,8.375,8,34.0,2.0,188,1
169822,0,122.75,West Indies,India,Lucknow,17,93,5.417475728155339,3,21.0,2.0,124,2
83697,1,136.0,India,Sri Lanka,Cuttack,87,41,7.454545454545454,9,35.0,1.0,180,1
147335,0,130.8,Zimbabwe,Afghanistan,Chattogram,7,153,8.123893805309734,7,40.0,1.0,156,2
114000,0,162.58333333333334,New Zealand,England,Hamilton,12,174,9.666666666666666,6,66.0,2.0,192,2
152629,0,148.54545454545453,Sri Lanka,Pakistan,Lahore,49,84,7.098591549295774,6,43.0,1.0,144,2
40077,0,139.69230769230768,England,Australia,Melbourne,6,118,6.2105263157894735,3,24.0,1.0,130,1
15595,0,170.24137931034485,West Indies,South Africa,Johannesburg,31,80,5.393258426966292,4,32.0,3.0,131,1
125336,0,129.41666666666666,New Zealand,England,Abu Dhabi,65,50,5.454545454545455,8,30.0,0.0,167,2
93060,0,148.91666666666666,Australia,West Indies,St Lucia,55,82,7.569230769230769,9,34.0,0.0,153,2
144816,0,141.92307692307693,India,Australia,Sydney,71,92,11.26530612244898,9,46.0,0.0,200,2
36549,0,146.41666666666666,Sri Lanka,Pakistan,Abu Dhabi,61,61,6.203389830508474,9,29.0,1.0,124,1
62803,0,136.0,Bangladesh,Netherlands,The Hague,68,47,5.423076923076923,7,39.0,0.0,128,1
107609,0,135.2,New Zealand,Australia,Wellington,75,33,4.4,9,21.0,1.0,106,2
113748,0,138.07142857142858,Zimbabwe,Pakistan,Harare,24,96,6.0,4,36.0,2.0,136,2
158375,0,130.5,England,Pakistan,Manchester,46,124,10.054054054054054,8,56.0,0.0,199,2
25278,0,178.75,Bangladesh,New Zealand,Hamilton,72,43,5.375,5,25.0,4.0,78,1
12739,0,138.1627906976744,Pakistan,England,Dubai,41,81,6.151898734177215,5,16.0,3.0,144,1
47411,0,166.2,Ireland,Netherlands,Sylhet,80,51,7.649999999999999,9,43.0,1.0,189,1
97036,0,149.28571428571428,Pakistan,Bangladesh,Cape Town,77,67,9.348837209302324,8,48.0,2.0,141,2
66881,0,161.36363636363637,Bangladesh,Pakistan,Lahore,48,75,6.25,9,30.0,1.0,141,1
13296,0,170.24137931034485,South Africa,West Indies,Johannesburg,0,231,11.55,3,52.0,3.0,231,1
64856,0,153.88235294117646,Sri Lanka,West Indies,Barbados,63,77,8.105263157894736,9,47.0,0.0,195,1
19470,0,145.89473684210526,Zimbabwe,Bangladesh,Dhaka,81,51,7.846153846153846,9,42.0,0.0,144,1
149038,0,176.0,Ireland,Netherlands,Al Amarat,0,183,9.15,1,52.0,6.0,183,2
37646,1,146.41666666666666,India,Afghanistan,Abu Dhabi,85,53,9.085714285714284,10,46.0,0.0,210,1
65117,0,153.88235294117646,Australia,Bangladesh,Barbados,49,62,5.23943661971831,5,23.0,2.0,141,1
51103,1,153.0,England,India,Pune,88,41,7.6875,9,40.0,1.0,157,1
49092,0,168.66666666666666,New Zealand,India,Auckland,63,70,7.368421052631579,8,33.0,2.0,132,1
126197,0,129.41666666666666,Afghanistan,India,Abu Dhabi,17,110,6.407766990291262,5,36.0,0.0,144,2
169886,0,122.75,West Indies,Afghanistan,Lucknow,75,34,4.533333333333333,8,21.0,2.0,106,2
3026,0,154.71428571428572,Sri Lanka,West Indies,Bengaluru,71,47,5.755102040816327,7,27.0,2.0,122,1
8716,0,138.1627906976744,India,New Zealand,Dubai,77,39,5.441860465116279,8,32.0,2.0,110,1
20582,0,145.89473684210526,Bangladesh,Australia,Dhaka,69,57,6.705882352941177,8,22.0,2.0,122,1
86163,1,169.75,Zimbabwe,Bangladesh,Bulawayo,91,39,8.068965517241379,9,39.0,1.0,168,1
47489,0,166.2,Ireland,Netherlands,Sylhet,4,180,9.310344827586208,7,70.0,0.0,189,1
160457,0,145.33333333333334,England,New Zealand,Delhi,53,104,9.313432835820896,9,36.0,1.0,159,2
146615,0,130.8,England,Netherlands,Chattogram,47,55,4.52054794520548,4,27.0,3.0,88,2
104552,1,149.27586206896552,India,New Zealand,Johannesburg,87,76,13.818181818181818,10,74.0,0.0,180,2
143684,0,162.0,India,England,Bristol,76,75,10.227272727272728,8,50.0,1.0,201,2
138674,0,126.0,Sri Lanka,Afghanistan,Kolkata,55,76,7.015384615384615,8,35.0,1.0,155,2
3453,0,154.71428571428572,India,Pakistan,Bengaluru,16,122,7.038461538461539,5,26.0,3.0,133,1
26947,0,146.14285714285714,New Zealand,Pakistan,Sharjah,76,46,6.272727272727273,9,36.0,1.0,134,1
15024,0,170.24137931034485,South Africa,Pakistan,Johannesburg,17,134,7.805825242718446,7,44.0,1.0,188,1
157821,0,130.5,England,India,Manchester,43,110,8.571428571428571,7,47.0,0.0,169,2
34302,1,169.58823529411765,Sri Lanka,England,Pallekele,87,41,7.454545454545454,9,37.0,1.0,169,1
50246,0,168.66666666666666,New Zealand,Australia,Auckland,21,125,7.575757575757576,2,28.0,2.0,150,1
142373,0,130.3448275862069,Bangladesh,Pakistan,Mirpur,70,23,2.76,5,14.0,3.0,85,2
85458,0,166.4,Sri Lanka,Australia,Brisbane,77,42,5.8604651162790695,8,36.0,1.0,117,1
120000,0,135.609756097561,Sri Lanka,Bangladesh,Colombo,65,81,8.836363636363638,8,51.0,2.0,158,2
154867,0,140.0,England,India,Cardiff,38,96,7.024390243902439,6,43.0,1.0,149,2
60967,1,154.66666666666666,Afghanistan,Ireland,Bready,89,27,5.225806451612903,8,26.0,2.0,160,1
85526,0,166.4,Sri Lanka,Australia,Brisbane,9,115,6.216216216216216,1,29.0,3.0,117,1
139140,0,126.0,India,West Indies,Kolkata,70,46,5.52,6,25.0,2.0,110,2
135307,0,170.66666666666666,India,Bangladesh,Rajkot,52,121,10.676470588235292,9,51.0,1.0,154,2
115458,0,170.6,India,Sri Lanka,Chandigarh,39,146,10.814814814814817,8,57.0,1.0,211,2
105456,0,149.27586206896552,Pakistan,South Africa,Johannesburg,51,115,10.0,9,45.0,0.0,181,2
162844,0,113.2,West Indies,Bangladesh,St Kitts,51,81,7.043478260869565,7,29.0,1.0,119,2
171552,0,122.5,West Indies,South Africa,Antigua,65,28,3.0545454545454547,8,14.0,0.0,119,2
169814,0,122.75,West Indies,India,Lucknow,25,87,5.494736842105263,3,19.0,2.0,124,2
10090,0,138.1627906976744,Australia,Pakistan,Dubai,4,108,5.586206896551724,1,14.0,3.0,108,1
113359,0,138.07142857142858,Pakistan,Zimbabwe,Harare,41,62,4.708860759493671,7,25.0,1.0,99,2
38190,0,146.41666666666666,Afghanistan,Zimbabwe,Abu Dhabi,34,101,7.046511627906977,6,41.0,3.0,183,1
18574,0,145.89473684210526,Bangladesh,West Indies,Dhaka,14,190,10.754716981132075,6,58.0,0.0,211,1
120153,0,135.609756097561,India,Bangladesh,Colombo,27,115,7.419354838709677,7,32.0,1.0,140,2
138145,0,149.95833333333334,New Zealand,Pakistan,Auckland,48,91,7.583333333333333,7,39.0,1.0,156,2
23175,0,157.21428571428572,India,Zimbabwe,Harare,65,50,5.454545454545455,7,23.0,2.0,138,1
18632,0,145.89473684210526,India,Bangladesh,Dhaka,79,37,5.414634146341464,8,28.0,1.0,166,1
34079,0,169.58823529411765,New Zealand,England,Pallekele,65,54,5.890909090909092,7,27.0,1.0,148,1
72209,0,174.0,New Zealand,India,Chennai,35,101,7.129411764705883,7,42.0,1.0,167,1
119554,0,135.609756097561,India,Bangladesh,Colombo,54,86,7.818181818181818,7,29.0,1.0,168,2
4501,0,160.83333333333334,Pakistan,England,Nottingham,83,50,8.108108108108107,10,45.0,0.0,232,1
69714,0,142.375,Sri Lanka,England,Cardiff,4,101,5.224137931034483,3,21.0,2.0,111,1
17333,0,162.46666666666667,Australia,New Zealand,Wellington,9,195,10.54054054054054,6,70.0,2.0,208,1
43175,0,152.8,South Africa,England,London,79,76,11.121951219512196,9,57.0,1.0,177,1
29809,0,153.14285714285714,Sri Lanka,Pakistan,Colombo,44,90,7.105263157894737,5,34.0,3.0,172,1
66000,0,191.25,India,West Indies,Mumbai,38,145,10.609756097560975,8,38.0,2.0,240,1
2147,0,154.0,West Indies,Pakistan,St Lucia,69,71,8.352941176470589,9,46.0,0.0,150,1
135229,0,153.6,West Indies,Bangladesh,Sylhet,60,113,11.3,8,40.0,1.0,130,2
133386,0,146.15384615384616,Australia,India,Durban,62,75,7.758620689655173,8,40.0,2.0,173,2
65002,0,153.88235294117646,West Indies,England,Barbados,42,109,8.384615384615385,8,44.0,1.0,170,1
85314,1,171.66666666666666,West Indies,Australia,Gros Islet,88,70,13.125,9,68.0,1.0,199,1
122417,0,147.11764705882354,Bangladesh,New Zealand,Pallekele,65,47,5.127272727272728,6,17.0,2.0,132,2
55279,0,148.20689655172413,West Indies,Pakistan,Mirpur,47,74,6.082191780821918,6,29.0,2.0,166,1
17414,0,162.46666666666667,India,New Zealand,Wellington,49,86,7.267605633802816,7,32.0,0.0,149,1
42858,0,152.8,Sri Lanka,West Indies,London,29,99,6.527472527472527,7,26.0,3.0,158,1
18881,0,145.89473684210526,Bangladesh,Australia,Dhaka,76,37,5.045454545454546,8,32.0,0.0,127,1
108894,0,125.15789473684212,Australia,Bangladesh,Dhaka,64,50,5.357142857142857,9,35.0,0.0,117,2
165017,1,154.25,South Africa,India,Centurion,89,38,7.354838709677419,8,38.0,2.0,189,2
42015,0,152.8,Sri Lanka,Ireland,London,1,140,7.058823529411765,1,39.0,5.0,144,1
82900,0,177.33333333333334,Pakistan,South Africa,Centurion,20,171,10.26,6,42.0,2.0,195,1
61114,0,154.66666666666666,Ireland,Zimbabwe,Bready,64,54,5.785714285714286,9,28.0,1.0,178,1
174089,0,158.0,Sri Lanka,India,Indore,25,169,10.673684210526316,3,56.0,6.0,172,2
115918,0,136.78571428571428,Bangladesh,West Indies,Sharjah,58,56,5.419354838709677,8,28.0,1.0,139,2
137890,0,149.95833333333334,Sri Lanka,New Zealand,Auckland,81,65,10.0,7,46.0,2.0,144,2
128369,1,131.0,Australia,India,Melbourne,90,48,9.6,10,48.0,0.0,157,2
132611,0,123.16666666666669,West Indies,Pakistan,Trinidad,63,70,7.368421052631579,7,41.0,2.0,129,2
81103,1,131.66666666666666,South Africa,Australia,Port Elizabeth,89,46,8.903225806451612,10,45.0,0.0,158,1
110749,0,138.07142857142858,Zimbabwe,Pakistan,Harare,17,107,6.233009708737864,3,33.0,3.0,108,2
64380,0,153.88235294117646,England,West Indies,Barbados,39,101,7.481481481481482,7,56.0,0.0,152,1
43842,0,152.8,West Indies,England,London,36,133,9.5,6,45.0,3.0,208,1
3199,0,154.71428571428572,India,Bangladesh,Bengaluru,24,114,7.125,5,41.0,3.0,146,1
36189,0,168.44444444444446,Australia,England,Southampton,56,125,11.71875,8,73.0,1.0,248,1
144034,0,141.92307692307693,Sri Lanka,Australia,Sydney,24,106,6.625,5,36.0,1.0,139,2
23479,0,157.21428571428572,Zimbabwe,India,Harare,13,133,7.457943925233645,3,35.0,3.0,170,1
3064,0,154.71428571428572,Sri Lanka,West Indies,Bengaluru,35,73,5.152941176470589,5,23.0,0.0,122,1
69753,1,142.375,England,South Africa,Cardiff,86,41,7.235294117647059,9,39.0,1.0,181,1
9550,1,138.1627906976744,Sri Lanka,Australia,Dubai,85,52,8.914285714285715,9,46.0,1.0,154,1
143696,0,162.0,India,England,Bristol,64,97,10.392857142857142,8,49.0,1.0,201,2
59496,0,149.0,Sri Lanka,Bangladesh,Chattogram,6,156,8.210526315789474,4,37.0,1.0,168,1
103267,0,128.3953488372093,Australia,Pakistan,Dubai,74,62,8.08695652173913,6,35.0,2.0,117,2
62605,0,174.5,Netherlands,Ireland,Al Amarat,17,152,8.854368932038835,7,36.0,1.0,167,1
152659,0,148.54545454545453,Sri Lanka,Pakistan,Lahore,19,114,6.772277227722773,4,30.0,2.0,144,2
92486,0,119.2,Sri Lanka,New Zealand,Lauderhill,47,61,5.013698630136987,7,32.0,1.0,92,2
144355,1,141.92307692307693,New Zealand,Australia,Sydney,87,34,6.181818181818182,8,29.0,1.0,149,2
36689,0,146.41666666666666,Sri Lanka,Ireland,Abu Dhabi,44,99,7.815789473684211,7,42.0,0.0,171,1
95050,0,146.28571428571428,Pakistan,India,Bengaluru,28,100,6.521739130434782,7,50.0,0.0,134,2
54285,0,148.20689655172413,India,Sri Lanka,Mirpur,62,57,5.896551724137932,9,34.0,0.0,130,1
20945,1,157.21428571428572,Pakistan,Zimbabwe,Harare,84,33,5.5,7,25.0,3.0,136,1
62794,0,136.0,Bangladesh,Netherlands,The Hague,77,36,5.023255813953488,7,31.0,1.0,128,1
35942,0,168.44444444444446,Sri Lanka,England,Southampton,57,89,8.476190476190476,6,33.0,4.0,163,1
18957,0,145.89473684210526,Bangladesh,Australia,Dhaka,2,127,6.457627118644068,3,34.0,2.0,127,1
144148,0,141.92307692307693,England,Australia,Sydney,27,110,7.096774193548387,4,36.0,1.0,144,2
156915,0,174.0,India,New Zealand,Chennai,68,69,7.961538461538462,9,38.0,0.0,166,2
138333,1,128.66666666666666,India,England,Pune,89,48,9.29032258064516,8,44.0,2.0,158,2
173025,0,147.0,England,South Africa,Paarl,31,93,6.269662921348314,6,35.0,1.0,147,2
5388,0,156.9047619047619,Sri Lanka,Australia,Cape Town,43,64,4.987012987012987,3,30.0,2.0,101,1
81655,0,129.4,India,South Africa,Dharamsala,80,50,7.5,9,40.0,1.0,199,1
92882,0,119.2,West Indies,India,Lauderhill,29,95,6.263736263736264,6,31.0,2.0,98,2
131227,0,141.33333333333334,England,New Zealand,London,44,124,9.789473684210527,8,42.0,1.0,196,2
27636,0,146.14285714285714,Afghanistan,Zimbabwe,Sharjah,4,210,10.862068965517242,5,56.0,1.0,215,1
87308,0,153.33333333333334,Sri Lanka,New Zealand,Kandy,12,148,8.222222222222221,4,45.0,4.0,161,1
79118,0,163.0,West Indies,England,Chester-le-Street,48,122,10.166666666666666,7,41.0,2.0,176,1
149111,0,138.0,Netherlands,Bangladesh,The Hague,48,69,5.75,7,38.0,1.0,131,2
88979,0,134.0,West Indies,Ireland,Jamaica,77,32,4.465116279069767,8,18.0,2.0,96,1
4308,0,160.83333333333334,Sri Lanka,West Indies,Nottingham,33,146,10.06896551724138,9,49.0,1.0,192,1
128068,1,161.66666666666666,South Africa,West Indies,St George's,86,42,7.411764705882352,8,34.0,1.0,146,2
116630,0,136.78571428571428,Sri Lanka,Bangladesh,Sharjah,18,159,9.352941176470589,6,57.0,0.0,172,2
140874,0,130.3448275862069,India,Sri Lanka,Mirpur,57,68,6.476190476190476,8,38.0,0.0,142,2
14221,0,170.24137931034485,India,South Africa,Johannesburg,71,99,12.122448979591836,8,54.0,1.0,203,1
132440,0,141.33333333333334,Pakistan,Zimbabwe,Rawalpindi,42,111,8.538461538461538,8,46.0,1.0,137,2
35658,1,168.44444444444446,Australia,England,Southampton,90,30,6.0,7,30.0,3.0,157,1
148081,0,157.4,Afghanistan,Bangladesh,Dehradun,11,119,6.55045871559633,6,41.0,2.0,135,2
39648,0,172.66666666666666,South Africa,West Indies,St George's,61,86,8.745762711864407,9,52.0,0.0,168,1
30777,0,153.14285714285714,Sri Lanka,Bangladesh,Colombo,68,43,4.961538461538462,5,20.0,3.0,159,1
132844,0,123.16666666666669,West Indies,Zimbabwe,Trinidad,76,28,3.8181818181818175,8,24.0,2.0,79,2
151047,0,132.1764705882353,West Indies,Sri Lanka,Barbados,51,80,6.956521739130435,7,33.0,1.0,138,2
25069,0,178.75,Pakistan,New Zealand,Hamilton,33,108,7.448275862068965,7,49.0,1.0,168,1
133919,0,146.15384615384616,England,New Zealand,Durban,64,67,7.178571428571428,9,32.0,1.0,159,2
112211,1,138.07142857142858,Australia,Pakistan,Harare,88,53,9.9375,9,51.0,1.0,117,2
140324,1,130.3448275862069,Bangladesh,Afghanistan,Mirpur,86,34,6.0,10,33.0,0.0,78,2
84455,0,174.16666666666666,India,England,Ahmedabad,63,72,7.578947368421052,7,39.0,2.0,185,1
130606,0,141.33333333333334,Netherlands,England,London,66,79,8.777777777777779,7,51.0,1.0,163,2
127165,0,129.41666666666666,Afghanistan,Ireland,Abu Dhabi,53,107,9.582089552238806,5,33.0,3.0,157,2
113809,1,162.58333333333334,New Zealand,Pakistan,Hamilton,84,46,7.666666666666667,9,37.0,1.0,164,2
147843,0,120.66666666666669,Ireland,Zimbabwe,Bready,4,118,6.103448275862069,1,24.0,2.0,119,2
80639,0,182.0,England,New Zealand,Napier,62,78,8.068965517241379,8,52.0,1.0,241,1
171822,0,131.5,Netherlands,Bangladesh,Dharamsala,48,79,6.583333333333333,7,32.0,2.0,145,2
86570,0,169.6,England,India,Birmingham,57,77,7.333333333333333,7,33.0,1.0,180,1
71980,1,143.5,West Indies,Pakistan,St Vincent,85,41,7.028571428571429,7,38.0,2.0,152,1
38775,0,146.41666666666666,Ireland,Afghanistan,Abu Dhabi,70,99,11.88,9,56.0,1.0,225,1
26706,0,146.14285714285714,England,Pakistan,Sharjah,68,65,7.500000000000001,7,37.0,2.0,154,1
100532,0,128.3953488372093,Ireland,Afghanistan,Dubai,19,115,6.831683168316832,3,37.0,2.0,126,2
154334,0,140.0,England,Pakistan,Cardiff,35,117,8.258823529411766,8,50.0,0.0,175,2
169436,0,142.66666666666666,New Zealand,Sri Lanka,Kandy,58,55,5.32258064516129,1,25.0,4.0,88,2
59697,0,149.0,England,New Zealand,Chattogram,57,91,8.666666666666666,7,36.0,2.0,172,1
21196,0,157.21428571428572,Zimbabwe,India,Harare,83,51,8.27027027027027,7,47.0,2.0,111,1
140143,0,130.3448275862069,Pakistan,Sri Lanka,Mirpur,31,115,7.752808988764045,7,46.0,1.0,151,2
121880,0,135.609756097561,Afghanistan,India,Colombo,8,128,6.857142857142857,2,35.0,3.0,136,2
46951,0,158.30769230769232,England,South Africa,Durban,49,103,8.704225352112676,7,34.0,1.0,204,1
114093,0,162.58333333333334,India,New Zealand,Hamilton,46,121,9.81081081081081,7,57.0,2.0,208,2
416,0,159.2,West Indies,New Zealand,Lauderhill,63,64,6.7368421052631575,9,32.0,0.0,209,1
97348,0,149.28571428571428,Australia,South Africa,Cape Town,9,169,9.135135135135137,6,39.0,2.0,181,2
168547,0,160.25,Bangladesh,Zimbabwe,Bulawayo,30,125,8.333333333333334,7,43.0,2.0,162,2
129757,0,141.33333333333334,Netherlands,Pakistan,London,83,37,6.0,9,28.0,1.0,93,2
20262,0,145.89473684210526,Bangladesh,Australia,Dhaka,24,96,6.0,6,35.0,2.0,131,1
81656,0,129.4,India,South Africa,Dharamsala,79,51,7.463414634146342,9,40.0,1.0,199,1
156175,1,148.0,Australia,New Zealand,Christchurch,84,36,6.0,6,30.0,3.0,131,2
83533,0,141.66666666666666,Pakistan,Australia,Perth,9,105,5.675675675675675,2,21.0,3.0,106,1
18304,0,162.46666666666667,Australia,New Zealand,Wellington,29,107,7.054945054945056,6,30.0,2.0,142,1
55267,0,148.20689655172413,West Indies,Pakistan,Mirpur,58,61,5.903225806451613,7,27.0,1.0,166,1
148882,0,176.0,Ireland,Netherlands,Al Amarat,42,106,8.153846153846153,7,36.0,1.0,169,2
36435,0,146.41666666666666,Netherlands,Ireland,Abu Dhabi,54,53,4.818181818181818,4,23.0,4.0,106,1
152959,0,148.54545454545453,Pakistan,Bangladesh,Lahore,71,54,6.612244897959184,8,32.0,1.0,142,2
